2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=678,96, ANGLE=0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=537,53, ANGLE=0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=396,11, ANGLE=0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=254,68, ANGLE=0,00°

2021-04-06 22:06:23 INFOS RegattaObjective : Checkpoint 2 reached

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=3385,68, ANGLE=-35,61°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=3253,60, ANGLE=-0,76°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=3112,17, ANGLE=-0,02°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=951,63, ANGLE=-20,84°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=813,76, ANGLE=-1,81°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=672,36, ANGLE=-0,19°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=530,93, ANGLE=-0,03°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=389,50, ANGLE=-0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=248,07, ANGLE=-0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=106,64, ANGLE=-0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=94,86, ANGLE=-0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=884,22, ANGLE=29,86°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=1976,16, ANGLE=3,45°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=1834,82, ANGLE=0,13°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=1693,40, ANGLE=0,01°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=1551,97, ANGLE=0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=1410,54, ANGLE=0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=1269,11, ANGLE=0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=1127,68, ANGLE=0,00°

